Brand,Screen Size,RAM,Storage,Price (USD),Camera (MP),Marketing Budget (USD),Region,Quarter,Units Sold (millions)
Huawei,5.2,12,128,200,8,500,North America,Q4,821
Sony,4.5,3,256,100,24,500,Oceania,Q1,401
Sony,6.4,16,1024,900,12,20000,Africa,Q4,915
OnePlus,7.0,4,1024,600,8,20000,Asia,Q4,562
Motorola,6.5,12,32,300,48,2000,Europe,Q4,179
OnePlus,6.8,4,256,500,20,500,Europe,Q1,914
LG,5.5,2,512,1000,32,500,Asia,Q1,947
LG,6.9,12,32,1300,16,100,Oceania,Q2,515
Apple,6.5,8,256,100,48,5000,Oceania,Q3,199
Apple,5.2,3,32,400,12,500,Asia,Q2,913
Google,6.7,12,64,700,108,10000,Oceania,Q1,511
OnePlus,5.0,12,32,1100,48,2000,Africa,Q4,361
Apple,4.5,6,512,300,20,100,Asia,Q1,826
Sony,6.7,3,64,200,20,20000,Africa,Q1,912
LG,6.8,16,32,600,24,2000,Oceania,Q3,758
Google,4.7,4,1024,700,8,20000,Europe,Q1,405
Samsung,6.0,6,64,700,16,20000,Asia,Q2,769
Motorola,4.7,2,128,1500,48,20000,South America,Q2,569
OnePlus,6.7,3,32,300,64,10000,Oceania,Q4,695
Sony,4.5,3,32,500,24,20000,Oceania,Q3,300
OnePlus,4.5,4,64,1300,48,500,South America,Q1,393
Oppo,6.4,4,32,400,16,1000,Asia,Q2,484
Huawei,6.7,8,128,800,8,10000,Europe,Q3,933
Xiaomi,5.2,6,256,200,32,500,South America,Q4,119
Google,6.8,16,256,100,24,100,North America,Q3,436
OnePlus,6.2,2,128,1500,20,10000,Asia,Q3,355
Xiaomi,5.5,16,32,600,64,1000,Europe,Q4,380
LG,6.4,8,128,900,24,5000,South America,Q2,471
Oppo,5.8,8,128,500,64,100,Africa,Q2,370
Apple,5.5,12,128,1000,48,10000,North America,Q1,901
Xiaomi,6.8,4,512,1100,64,500,Oceania,Q3,312
LG,5.2,2,32,1100,24,500,Africa,Q4,822
LG,6.5,2,128,1400,12,20000,Europe,Q4,841
Oppo,4.5,4,128,500,12,5000,North America,Q1,237
